DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201804071,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,300,18,Southeast,1863,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0416 0447 1300 1814 0913,36,F,B,501,SINGLE FAMILY DWELLING,212,BOTTLE,IC,Invest Cont,236,,,,300 E  116TH                        ST,,33.9292,-118.2695
200705796,02/07/2020 12:00:00 AM,01/01/2020 12:00:00 AM,900,7,Wilshire,734,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,33,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,341,,,,6200 W  3RD                          ST,,34.0708,-118.3563
200604017,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2305,6,Hollywood,636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0400 0416 0329 1300,83,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,740,,,,WHITLEY                      AV,HOLLYWOOD                    BL,34.1016,-118.3333
201104118,01/03/2020 12:00:00 AM,01/01/2020 12:00:00 AM,300,11,Northeast,1147,1,330,BURGLARY FROM VEHICLE,1607 1822 0358,57,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,FUTURE                       ST,SCARBORO                     ST,34.1031,-118.2291
201904765,01/17/2020 12:00:00 AM,01/01/2020 12:00:00 AM,800,19,Mission,1974,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1259 0558 1906,15,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,8900    CEDROS                       AV,,34.2318,-118.4536
201804096,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,18,Southeast,1863,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0329 0344 1300,37,F,H,101,STREET,,,IC,Invest Cont,420,,,,400 E  120TH                        ST,,33.9237,-118.2681
201904035,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2100,19,Mission,1987,1,330,BURGLARY FROM VEHICLE,385,31,M,H,101,STREET,,,IC,Invest Cont,330,,,,8400    VENTURA CANYON               AV,,34.2269,-118.4394
221511140,06/14/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1235,15,N Hollywood,1555,2,354,THEFT OF IDENTITY,377,87,M,W,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,11300    OTSEGO                       ST,,34.163,-118.3774
200604108,01/04/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1400,6,Hollywood,644,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352,27,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1300 N  POINSETTIA                   PL,,34.0944,-118.3483
201904078,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1405,19,Mission,1969,2,624,BATTERY - SIMPLE ASSAULT,1814 0913 0416 1601 0444,41,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9700    SHARP                        AV,,34.247,-118.4254
202114655,10/09/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,21,Topanga,2144,2,354,THEFT OF IDENTITY,1822 0930,50,M,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,354,,,,22700    VANOWEN                      ST,,34.1937,-118.6215
